Name,Description,IsOwnBank,RoutingNo,SwiftCode,C_Bank>C_Location>City,C_Bank>C_Location>Postal,C_Bank>C_Location>C_Country_ID[Name]
UBI BANCA INT München,UBI BANCA INTERNATIONAL - Ndl München,N,70110600,BEPODEMMXXX,München,80333,Germany - Deutschland
State Street Bank München,State Street Bank,N,70120100,SBOSDEMXXXX,München,80019,Germany - Deutschland
RBS NDL Frankfurt,The Royal Bank of Scotland Niederlassung Frankfurt,N,70120200,ABNADEFFMUN,München,80075,Germany - Deutschland
DAB bank München,DAB bank,N,70120400,DABBDEMMXXX,München,81241,Germany - Deutschland
CACEIS Bank Deutschland,CACEIS Bank Deutschland,N,70120500,FMBKDEMMXXX,München,80911,Germany - Deutschland
Salzburg München Bank,Salzburg München Bank,N,70120600,RVSADEMXXXX,München,80333,Germany - Deutschland
Oberbank München,Oberbank Ndl Deutschland,N,70120700,OBKLDEMXXXX,München,80068,Germany - Deutschland
UniCredit exHypo Ndl BACA,UniCredit Bank - HypoVereinsbank Ndl BACA,N,70120900,HYVEDEM1107,Aschheim,85609,Germany - Deutschland
Lenz Bank München,Bankhaus August Lenz & Co,N,70130700,LENZDEM1XXX,München,81679,Germany - Deutschland
Merkur Bank München,Merkur Bank,N,70130800,GENODEF1M06,München,80014,Germany - Deutschland
Santander Bank München,Santander Consumer Bank,N,70133300,SCFBDE33XXX,München,80331,Germany - Deutschland
Stadtsparkasse München,Stadtsparkasse München,N,70150000,SSKMDEMMXXX,München,80791,Germany - Deutschland
DZ BANK München,DZ BANK,N,70160000,GENODEFF701,München,80268,Germany - Deutschland
Raiffbk München -alt-,Raiffeisenbank München -alt-,N,70160300,GENODEF1M02,München,81632,Germany - Deutschland
VR-Bank Fürstenfeldbruck,Volksbank Raiffeisenbank Fürstenfeldbruck,N,70163370,GENODEF1FFB,Fürstenfeldbruck,82256,Germany - Deutschland
VR Bank München Land,VR Bank München Land,N,70166486,GENODEF1OHC,Deisenhofen b München,82034,Germany - Deutschland
Raiffbk Griesstätt-Halfing,Raiffeisenbank Griesstätt-Halfing,N,70169132,GENODEF1HFG,Halfing,83128,Germany - Deutschland
Raiffbk Chiemgau-Nord-Obing,Raiffeisenbank Chiemgau-Nord - Obing,N,70169165,GENODEF1SBC,Obing,83117,Germany - Deutschland
VR-Bank Chiemgau-Süd -alt-,VR-Bank Chiemgau-Süd -alt-,N,70169168,GENODEF1RIW,Ruhpolding,83321,Germany - Deutschland
Raiffbk Pfaffenhofen Glonn,Raiffeisenbank Pfaffenhofen a d Glonn,N,70169186,GENODEF1ODZ,Odelzhausen,85235,Germany - Deutschland
Raiffbk Tattenh Großkarol,Raiffeisenbank Tattenh-Großkarolinenf,N,70169190,GENODEF1GKT,Großkarolinenfeld,83109,Germany - Deutschland
Raiffbk Rupertiwinkel,Raiffeisenbank Rupertiwinkel,N,70169191,GENODEF1TEI,Teisendorf,83315,Germany - Deutschland
Raiffbk Trostberg-Traunreut,Raiffeisenbank Trostberg-Traunreut,N,70169195,GENODEF1TRU,Traunreut,83301,Germany - Deutschland
Raiffeisenbank Alxing-Bruck,Raiffeisenbank Alxing-Bruck,N,70169310,GENODEF1ALX,"Bruck, Oberbay",85567,Germany - Deutschland
Raiffbk Aufkirchen -alt-,Raiffeisenbank Aufkirchen -alt-,N,70169322,GENODEF1AFK,"Berg, Starnberger See",82335,Germany - Deutschland
Raiffbk sö Starnberger See,Raiffeisenbank südöstl. Starnberger See,N,70169331,GENODEF1SSB,Seeshaupt,82402,Germany - Deutschland
Raiffbk Beuerberg-Eurasburg,Raiffeisenbank Beuerberg-Eurasburg,N,70169333,GENODEF1EUR,Eurasburg b Wolfratshausen,82547,Germany - Deutschland
Raiffbk Nordkreis Landsberg,Raiffeisenbank Nordkreis Landsberg,N,70169351,GENODEF1ELB,Egling a.d.Paar,86492,Germany - Deutschland
Raiffeisenbank Erding,Raiffeisenbank Erding,N,70169356,GENODEF1EDR,Erding,85421,Germany - Deutschland
Raiffeisenbank Gilching,Raiffeisenbank,N,70169382,GENODEF1GIL,Gilching,82196,Germany - Deutschland
Raiffeisenbank Gmund am Teg,Raiffeisenbank Gmund am Tegernsee,N,70169383,GENODEF1GMU,Gmund a. Tegernsee,83703,Germany - Deutschland
Raiffbk Haag-Gars-Maitenb,Raiffeisenbank Haag-Gars-Maitenbeth,N,70169388,GENODEF1HMA,Haag i.OB,83523,Germany - Deutschland
Raiffbk Höhenkirchen u U,Raiffeisenbank Höhenkirchen und Umgebung,N,70169402,GENODEF1HHK,Höhenkirchen-Siegertsbrunn,85631,Germany - Deutschland
Raiffbk Holzkirchen-Otterf,Raiffeisenbank Holzkirchen-Otterfing,N,70169410,GENODEF1HZO,"Holzkirchen, Oberbay",83607,Germany - Deutschland
Raiffbk Singoldtal,Raiffeisenbank Singoldtal,N,70169413,GENODEF1HUA,"Hurlach, Oberbay",86857,Germany - Deutschland
Raiffbk Königsdorf-Gelting,Raiffeisenbank Königsdorf-Gelting,N,70169433,GENODEF1KOG,"Königsdorf, Oberbay",82549,Germany - Deutschland
Raiffbk im Isarwinkel -alt-,Raiffeisenbank im Isarwinkel -alt-,N,70169444,GENODEF1LGR,Lenggries,83658,Germany - Deutschland
Raiff-VB Ebersberg,Raiffeisen-Volksbank Ebersberg,N,70169450,GENODEF1ASG,Grafing b. München,85567,Germany - Deutschland
Raiffeisenbank Mittenwald,Raiffeisenbank,N,70169459,GENODEF1MTW,Mittenwald,82481,Germany - Deutschland
Raiffbk Westkreis,Raiffeisenbank Westkreis Fürstenfeldbruck,N,70169460,GENODEF1MOO,Moorenweis,82272,Germany - Deutschland
Genossenschaftsbank,Genossenschaftsbank München,N,70169464,GENODEF1M07,München,81218,Germany - Deutschland
Raiffbk München-Nord,Raiffeisenbank München-Nord,N,70169465,GENODEF1M08,Unterschleißheim,85704,Germany - Deutschland
Raiffeisenbank München-Süd,Raiffeisenbank München-Süd,N,70169466,GENODEF1M03,München,81457,Germany - Deutschland
Raiffeisenbank München-Süd,Raiffeisenbank München-Süd Gf GA,N,70169470,GENODEF1GAA,München,81476,Germany - Deutschland
Raiffbk Hallbergmoos-Neuf,Raiffeisenbank Hallbergmoos-Neufahrn,N,70169472,GENODEF1NFA,Neufahrn b. Freising,85369,Germany - Deutschland
Raiffbk NSV-NBK,Raiffbk Neumarkt-St. Veit - Niederbergkirchen,N,70169474,GENODEF1NSV,Neumarkt-Sankt Veit,84491,Germany - Deutschland
Raiffbk -alt-,Raiffeisenbank -alt-,N,70169476,GENODEF1NBK,Niederbergkirchen,84494,Germany - Deutschland
Raiffbk Oberschleißheim alt,Raiffeisenbank Oberschleißheim -alt-,N,70169493,GENODEF1OBS,Oberschleißheim,85764,Germany - Deutschland
Raiffbk Buchbach-Schwi-alt-,Raiffeisenbank Buchbach-Schwindegg -alt-,N,70169495,GENODEF1SGO,"Buchbach, Oberbay",84428,Germany - Deutschland
Raiffbk Anzing-Forstern alt,Raiffeisenbank Anzing-Forstern -alt-,N,70169505,GENODEF1FOA,"Forstern, Oberbay",85659,Germany - Deutschland
Raiffbk Pfaffenwinkel,Raiffeisenbank Pfaffenwinkel,N,70169509,GENODEF1PEI,Peiting,86971,Germany - Deutschland
Raiffeisenbank Raisting,Raiffeisenbank Raisting,N,70169521,GENODEF1RIG,"Raisting, Oberbay",82399,Germany - Deutschland
Raiffeisenbank RSA,Raiffeisenbank RSA,N,70169524,GENODEF1RME,Rechtmehring,83562,Germany - Deutschland
Raiffbk Reischach-Wurm-Zeil,Raiffeisenbank Reischach-Wurmannsquick-Zeilarn,N,70169530,GENODEF1RWZ,"Reischach, Kr Altötting",84571,Germany - Deutschland
Raiffbk St Wolfgang-Schwind,Raiffeisenbank St. Wolfgang-Schwindkirchen,N,70169538,GENODEF1SWO,Sankt Wolfgang,84425,Germany - Deutschland
Raiffbk Lech-Ammersee,Raiffeisenbank Lech-Ammersee,N,70169541,GENODEF1THG,Vilgertshofen,86946,Germany - Deutschland
Raiffbk Isar-Loisachtal,Raiffeisenbank Isar-Loisachtal,N,70169543,GENODEF1HHS,Wolfratshausen,82504,Germany - Deutschland
Raiffeisenbank Steingaden,Raiffeisenbank,N,70169558,GENODEF1SGA,"Steingaden, Oberbay",86989,Germany - Deutschland
VR-Bank Taufkirchen-Dorfen,VR-Bank Taufkirchen-Dorfen,N,70169566,GENODEF1TAV,Taufkirchen (Vils),84413,Germany - Deutschland
Raiffbk Taufk-Oberneukirch,Raiffeisenbank Taufkirchen-Oberneukirchen,N,70169568,GENODEF1TAE,Oberneukirchen,84565,Germany - Deutschland
Raiffbk Thalheim -alt-,Raiffeisenbank Thalheim -alt-,N,70169570,GENODEF1FTH,"Fraunberg, Oberbay",85447,Germany - Deutschland
Raiffbk Tölzer Land,Raiffeisenbank Tölzer Land,N,70169571,GENODEF1DTZ,Bad Tölz,83646,Germany - Deutschland
Raiffeisenbank Türkheim,Raiffeisenbank,N,70169575,GENODEF1TRH,"Türkheim, Wertach",86838,Germany - Deutschland
Raiff-Volksbank Tüßling,Raiffeisen-Volksbank Tüßling-Unterneukirchen,N,70169576,GENODEF1TUS,Tüßling,84577,Germany - Deutschland
Raiffbk Unterschleißh-H-alt,Raiffeisenbank Unterschleißheim-Haimhn -alt-,N,70169585,GENODEF1UNS,Unterschleißheim,85704,Germany - Deutschland
Raiffbk Walpertskirchen alt,Raiffeisenbank Walpertskirchen-Wörth-Hörlkofen -alt-,N,70169596,GENODEF1WWO,Walpertskirchen,85469,Germany - Deutschland
Raiffbk im Oberland,Raiffeisenbank im Oberland,N,70169598,GENODEF1MIB,Miesbach,83712,Germany - Deutschland
Raiffeisenbank Weil u Umgeb,Raiffeisenbank Weil u Umgebung,N,70169599,GENODEF1WEI,"Weil, Kr Landsberg a Lech",86947,Germany - Deutschland
Raiffeisenbank Weilheim alt,Raiffeisenbank Weilheim -alt-,N,70169602,GENODEF1WM1,Weilheim i. OB,82355,Germany - Deutschland
RVB Isen-Sempt,Raiffeisen-Volksbank Isen-Sempt,N,70169605,GENODEF1ISE,"Isen, Oberbay",84424,Germany - Deutschland
Freisinger Bank VB-Raiffbk,Freisinger Bank Volksbank-Raiffeisenbank,N,70169614,GENODEF1FSR,"Freising, Oberbay",85354,Germany - Deutschland
